nombre,precio,url
Freidora de aire Philips NA221/00,"79,90€",https://www.euronics.es/philips-na221-00-freidora-de-aire.html
Freidoras de Aire,"129,00€",https://www.mediamarkt.es/es/category/freidoras-de-aire-6334.html
"Philips 2000 Series Na221/00 Freidora Sencillo Independiente 1500 W Freidora De Aire Caliente Negro, Plata","83,96 €",https://www.carrefour.es/philips-2000-series-na221-00-freidora-sencillo-independiente-1500-w-freidora-de-aire-caliente-negro-plata/8720389034770/p
